,Variable,N,Mean,SD,SE,95% Conf.,Interval
0,dstar,25.0,0.24104000000000003,0.3347453609337502,0.06694907218675003,0.10286390621143612,0.3792160937885639
1,lastar,25.0,1.4558000000000002,2.421047259624094,0.4842094519248187,0.4564408086456748,2.4551591913543254
2,diff,25.0,-1.21476,2.1021982993999395,0.420439659879988,-2.0825048092776814,-0.3470151907223187
